Year,Day,Month,Weekday,Name,Type
2022,1,Jan,Saturday,International New Year's Day,National Holiday
2022,2,Jan,Sunday,New Year's Day Holiday,National Holiday
2022,3,Jan,Monday,Day off for International New Year's Day,National Holiday
2022,31,Jan,Monday,Vietnamese New Year's Eve,National Holiday
2022,1,Feb,Tuesday,Vietnamese New Year,National Holiday
2022,2,Feb,Wednesday,Tet Holiday,National Holiday
2022,3,Feb,Thursday,Tet Holiday,National Holiday
2022,4,Feb,Friday,Tet Holiday,National Holiday
2022,5,Feb,Saturday,Tet Holiday,National Holiday
2022,10,Apr,Sunday,Hung Kings Festival,National Holiday
2022,11,Apr,Monday,Day off for Hung Kings Festival,National Holiday
2022,30,Apr,Saturday,Liberation Day/Reunification Day,National Holiday
2022,1,May,Sunday,International Labor Day,National Holiday
2022,2,May,Monday,Day off for Liberation Day/Reunification Day,National Holiday
2022,3,May,Tuesday,Day off for International Labor Day,National Holiday
2022,1,Sep,Thursday,Independence Day Holiday,Public Sector Holiday
2022,2,Sep,Friday,Independence Day,National Holiday
2023,1,Jan,Sunday,International New Year's Day,National Holiday
2023,2,Jan,Monday,Day off for International New Year's Day,National Holiday
2023,20,Jan,Friday,Tet Holiday,Public Sector Holiday
2023,21,Jan,Saturday,Vietnamese New Year's Eve,National Holiday
2023,22,Jan,Sunday,Vietnamese New Year,National Holiday
2023,23,Jan,Monday,Tet Holiday,National Holiday
2023,24,Jan,Tuesday,Tet Holiday,National Holiday
2023,25,Jan,Wednesday,Tet Holiday,National Holiday
2023,26,Jan,Thursday,Tet Holiday,National Holiday
2023,29,Apr,Saturday,Hung Kings Festival,National Holiday
2023,30,Apr,Sunday,Liberation Day/Reunification Day,National Holiday
2023,1,May,Monday,International Labor Day,National Holiday
2023,2,May,Tuesday,Day off for Hung Kings Festival,National Holiday
2023,3,May,Wednesday,Day off for Liberation Day/Reunification Day,National Holiday
2023,1,Sep,Friday,Independence Day Holiday,Public Sector Holiday
2023,2,Sep,Saturday,Independence Day,National Holiday
2023,3,Sep,Sunday,Independence Day Holiday,Public Sector Holiday
2023,4,Sep,Monday,Independence Day observed,National Holiday
2024,1,Jan,Monday,International New Year's Day,National Holiday
2024,8,Feb,Thursday,Tet Holiday,Public Sector Holiday
2024,9,Feb,Friday,Vietnamese New Year's Eve,National Holiday
2024,10,Feb,Saturday,Vietnamese New Year,National Holiday
2024,11,Feb,Sunday,Tet Holiday,National Holiday
2024,12,Feb,Monday,Tet Holiday,National Holiday
2024,13,Feb,Tuesday,Tet Holiday,National Holiday
2024,14,Feb,Wednesday,Tet Holiday,National Holiday
2024,18,Apr,Thursday,Hung Kings Festival,National Holiday
2024,29,Apr,Monday,Liberation Day/Reunification Day Holiday,Public Sector Holiday
2024,30,Apr,Tuesday,Liberation Day/Reunification Day,National Holiday
2024,1,May,Wednesday,International Labor Day,National Holiday
2024,31,Aug,Saturday,Independence Day Holiday,Public Sector Holiday
2024,1,Sep,Sunday,Independence Day Holiday,Public Sector Holiday
2024,2,Sep,Monday,Independence Day,National Holiday
2024,3,Sep,Tuesday,Independence Day Holiday,Public Sector Holiday
2025,1,Jan,Wednesday,International New Year's Day,National Holiday
2025,25,Jan,Saturday,Tet Holiday,Public Sector Holiday
2025,26,Jan,Sunday,Tet Holiday,Public Sector Holiday
2025,27,Jan,Monday,Tet Holiday,Public Sector Holiday
2025,28,Jan,Tuesday,Vietnamese New Year's Eve,National Holiday
2025,29,Jan,Wednesday,Vietnamese New Year,National Holiday
2025,30,Jan,Thursday,Tet Holiday,National Holiday
2025,31,Jan,Friday,Tet Holiday,National Holiday
2025,1,Feb,Saturday,Tet Holiday,National Holiday
2025,2,Feb,Sunday,Tet Holiday,National Holiday
2025,7,Apr,Monday,Hung Kings Festival,National Holiday
2025,26,Apr,Saturday,Working Day for May 2,Working Day on Weekend
2025,30,Apr,Wednesday,Liberation Day/Reunification Day,National Holiday
2025,1,May,Thursday,International Labor Day,National Holiday
2025,2,May,Friday,International Labor Day Holiday,Public Sector Holiday
2025,1,Sep,Monday,Independence Day Holiday,Public Sector Holiday
2025,2,Sep,Tuesday,Independence Day,National Holiday